delay_hours,delay_temp_f,shelf_life_days,consumption_pct,lettuce_type_encoded,organic,month,seasonal_price_index,transit_distance_km,pre_delay_consumption_pct,loss_rate
79.66,32.9,21.0,15.45,0,0,1,1.0683,3712.5,11.84,0.098208
29.1,43.0,6.99,19.66,0,0,1,1.0683,3018.9,15.4,0.073588
62.93,48.8,4.49,59.4,0,0,1,1.0683,3798.4,21.41,0.207909
110.66,34.9,18.78,24.04,0,0,1,1.0683,575.7,16.06,0.078938
157.96,47.3,5.09,174.66,0,0,1,1.0683,2941.9,16.08,1.0
76.99,46.4,5.45,48.14,0,0,1,1.0683,7063.9,9.65,0.147628
11.96,39.6,9.07,1.12,0,0,1,1.0683,6344.3,0.58,0.075257
136.83,38.5,9.91,54.4,0,0,1,1.0683,930.3,17.42,0.171655
123.49,54.1,2.36,411.74,0,0,1,1.0683,2151.2,4.44,1.0
126.1,54.2,2.32,446.56,0,0,1,1.0683,7429.3,10.32,1.0
57.25,57.9,2.0,148.08,0,0,1,1.0683,6445.2,10.72,1.0
126.15,52.6,2.95,306.17,0,0,1,1.0683,818.3,22.56,1.0
53.77,56.9,2.0,122.93,0,0,1,1.0683,2949.6,0.27,0.9932
152.1,32.7,21.0,35.33,0,0,1,1.0683,2428.9,23.75,0.094556
106.15,43.5,6.77,54.65,0,0,1,1.0683,2234.4,8.22,0.174836
112.98,52.6,2.97,248.66,0,0,1,1.0683,5947.3,19.74,1.0
9.67,46.5,5.41,23.13,0,0,1,1.0683,3339.4,22.19,0.07
58.95,33.5,21.0,21.14,0,0,1,1.0683,1115.3,19.04,0.07
14.13,51.0,3.59,24.41,0,0,1,1.0683,592.1,20.55,0.082956
118.65,32.4,21.0,32.07,0,0,1,1.0683,682.0,24.67,0.07
136.55,58.4,2.0,675.42,0,0,1,1.0683,7395.7,18.83,1.0
63.21,32.5,21.0,16.34,0,0,1,1.0683,5839.7,13.96,0.105772
18.68,44.8,6.11,14.17,0,0,1,1.0683,134.6,11.72,0.07
9.46,33.6,21.0,16.31,0,0,1,1.0683,925.6,16.23,0.085892
161.64,41.2,7.88,97.15,0,0,1,1.0683,2178.6,21.71,0.859277
37.56,58.9,2.0,88.57,0,0,1,1.0683,140.6,24.25,0.695818
12.4,46.6,5.35,14.56,0,0,1,1.0683,7271.3,13.08,0.092374
105.74,50.9,3.65,155.94,0,0,1,1.0683,3436.3,15.69,1.0
7.63,38.4,9.93,22.46,0,0,1,1.0683,7130.6,22.26,0.097907
76.55,48.6,4.56,57.29,0,0,1,1.0683,2116.5,4.7,0.142079
98.05,32.3,21.0,29.91,0,0,1,1.0683,7309.2,24.66,0.089029
117.29,46.1,5.57,99.45,0,0,1,1.0683,2356.0,20.34,0.84808
153.04,54.7,2.13,738.14,0,0,1,1.0683,7126.0,18.14,1.0
103.05,42.5,7.23,60.83,0,0,1,1.0683,6998.8,21.65,0.249238
165.86,34.5,19.72,24.67,0,0,1,1.0683,4476.3,9.52,0.078901
162.95,55.3,2.0,914.21,0,0,1,1.0683,6295.5,11.72,1.0
9.47,55.9,2.0,30.38,0,0,1,1.0683,6106.1,24.99,0.084973
167.43,46.7,5.33,185.7,0,0,1,1.0683,5779.0,23.62,1.0
75.69,33.9,21.0,18.45,0,0,1,1.0683,7157.7,15.15,0.105213
38.41,50.2,3.94,28.72,0,0,1,1.0683,4655.1,8.95,0.100131
87.41,53.2,2.73,189.08,0,0,1,1.0683,3925.2,21.3,1.0
92.72,46.8,5.27,67.3,0,0,1,1.0683,6581.1,10.09,0.322433
118.29,36.4,14.06,15.53,0,0,1,1.0683,1066.0,0.36,0.10305
58.9,47.7,4.92,39.52,0,0,1,1.0683,2972.2,10.94,0.099224
86.35,53.5,2.6,195.48,0,0,1,1.0683,3004.2,15.55,1.0
144.88,58.5,2.0,753.57,0,0,1,1.0683,1145.7,23.16,1.0
77.13,59.4,2.0,243.08,0,0,1,1.0683,3720.0,8.22,1.0
106.41,37.2,10.85,23.2,0,0,1,1.0683,615.2,3.22,0.084552
30.56,40.4,8.47,15.15,0,0,1,1.0683,6731.1,11.85,0.071893
112.15,35.2,18.08,9.78,0,0,1,1.0683,1482.6,1.02,0.07
29.74,32.7,21.0,12.13,0,0,1,1.0683,948.7,11.52,0.07
34.66,40.9,8.05,21.79,0,0,1,1.0683,3800.5,17.26,0.071068
146.76,57.6,2.0,754.52,0,0,1,1.0683,505.0,6.92,1.0
135.44,52.4,3.02,313.22,0,0,1,1.0683,1424.7,5.23,1.0
103.87,41.1,7.97,52.03,0,0,1,1.0683,3495.9,18.69,0.100326
6.16,37.6,10.57,22.5,0,0,1,1.0683,5364.5,22.38,0.151129
18.0,43.4,6.79,7.96,0,0,1,1.0683,4018.0,6.06,0.104676
45.23,41.3,7.84,15.74,0,0,1,1.0683,199.5,8.05,0.07
20.12,56.7,2.0,37.88,0,0,1,1.0683,4472.3,16.98,0.0814
132.58,45.0,6.02,99.01,0,0,1,1.0683,697.6,13.43,0.887022
72.52,33.8,21.0,12.13,0,0,1,1.0683,2164.1,9.08,0.088649
108.51,47.1,5.15,103.76,0,0,1,1.0683,2702.9,24.66,0.881541
17.1,34.6,19.54,4.27,0,0,1,1.0683,1882.4,4.02,0.087327
31.34,38.6,9.84,25.06,0,0,1,1.0683,1341.6,22.42,0.081117
68.95,59.5,2.0,201.85,0,0,1,1.0683,884.7,9.95,0.998819
162.87,56.0,2.0,908.19,0,0,1,1.0683,6137.2,6.45,1.0
156.14,46.7,5.32,150.7,0,0,1,1.0683,4308.5,7.0,1.0
129.27,35.6,16.97,23.31,0,0,1,1.0683,2461.4,10.64,0.07
19.29,48.3,4.67,18.74,0,0,1,1.0683,2200.3,14.53,0.081
25.93,44.4,6.28,5.5,0,0,1,1.0683,4017.8,1.3,0.07
10.65,59.7,2.0,26.9,0,0,1,1.0683,2451.5,20.25,0.076882
42.78,50.4,3.82,40.23,0,0,1,1.0683,5713.7,14.89,0.07
58.61,57.9,2.0,167.38,0,0,1,1.0683,6238.1,24.13,1.0
20.88,51.9,3.23,13.97,0,0,1,1.0683,7040.6,4.53,0.093687
96.51,55.3,2.0,371.45,0,0,1,1.0683,1091.3,19.88,1.0
33.87,34.9,18.73,21.32,0,0,1,1.0683,1273.8,20.36,0.083917
60.28,56.3,2.0,171.12,0,0,1,1.0683,2973.7,20.41,1.0
73.77,41.3,7.85,26.05,0,0,1,1.0683,3497.0,7.53,0.087109
39.01,57.0,2.0,82.44,0,0,1,1.0683,2910.0,13.59,0.611683
152.29,48.7,4.51,208.44,0,0,1,1.0683,920.9,23.5,0.999606
23.4,53.8,2.47,32.08,0,0,1,1.0683,4669.5,13.34,0.118528
150.17,53.7,2.54,515.68,0,0,1,1.0683,1180.0,7.79,1.0
5.63,47.1,5.16,22.3,0,0,1,1.0683,5730.3,21.92,0.073342
57.47,54.6,2.14,143.08,0,0,1,1.0683,874.2,21.16,0.999898
133.95,34.5,19.76,28.33,0,0,1,1.0683,1757.9,18.06,0.07
120.97,49.2,4.31,146.32,0,0,1,1.0683,5219.9,13.57,1.0
30.51,57.3,2.0,54.25,0,0,1,1.0683,4396.3,10.02,0.139318
77.62,58.4,2.0,252.17,0,0,1,1.0683,1192.5,14.66,1.0
3.04,56.2,2.0,14.83,0,0,1,1.0683,6994.3,14.13,0.093921
117.04,57.7,2.0,501.26,0,0,1,1.0683,5318.9,3.81,1.0
71.25,52.1,3.16,112.38,0,0,1,1.0683,7011.0,23.14,1.0
75.74,33.4,21.0,24.27,0,0,1,1.0683,7387.1,20.97,0.096942
99.33,42.0,7.51,42.56,0,0,1,1.0683,458.0,8.38,0.124686
134.88,30.1,21.0,19.28,0,0,1,1.0683,2534.6,9.95,0.097169
58.19,40.4,8.44,21.89,0,0,1,1.0683,5544.4,11.31,0.091219
37.73,43.6,6.71,11.74,0,0,1,1.0683,1099.4,4.41,0.07
153.69,40.9,8.1,81.38,0,0,1,1.0683,4375.4,15.81,0.555468
2.2,49.9,4.04,24.14,0,0,1,1.0683,1376.4,24.03,0.074355
14.34,59.9,2.0,26.25,0,0,1,1.0683,3791.4,14.88,0.07
11.27,52.5,3.0,26.0,0,0,1,1.0683,1613.8,22.45,0.070183
6.14,44.2,6.42,1.95,0,0,1,1.0683,4258.1,1.64,0.071289
130.29,43.6,6.7,79.48,0,0,1,1.0683,3956.7,11.02,0.547917
26.08,35.5,17.36,24.34,0,0,1,1.0683,6470.3,23.65,0.07
62.72,38.1,10.16,18.9,0,0,1,1.0683,4847.8,10.22,0.105459
4.55,36.7,12.7,16.85,0,0,1,1.0683,1771.5,16.8,0.103341
3.31,33.1,21.0,4.48,0,0,1,1.0683,6009.4,4.46,0.07
16.71,37.3,10.78,22.11,0,0,1,1.0683,5430.9,21.39,0.103811
139.48,41.9,7.54,67.67,0,0,1,1.0683,5027.2,5.12,0.318004
2.18,32.6,21.0,0.67,0,0,1,1.0683,1598.8,0.66,0.07
30.48,47.5,5.0,30.79,0,0,1,1.0683,3189.6,22.32,0.079815
43.58,41.4,7.8,13.95,0,0,1,1.0683,4447.7,6.7,0.105417
104.86,42.3,7.36,50.03,0,0,1,1.0683,4162.8,10.9,0.144137
128.29,34.2,20.49,21.09,0,0,1,1.0683,6520.1,12.19,0.090083
150.28,54.0,2.4,561.77,0,0,1,1.0683,3217.8,0.56,1.0
106.42,37.7,10.45,42.26,0,0,1,1.0683,1088.2,20.87,0.07
165.38,45.8,5.69,147.88,0,0,1,1.0683,1329.0,6.81,1.0
46.04,46.6,5.35,36.53,0,0,1,1.0683,4903.1,20.74,0.083206
34.68,30.3,21.0,23.31,0,0,1,1.0683,1069.8,22.5,0.083604
100.89,50.0,4.02,131.25,0,0,1,1.0683,1356.5,22.86,1.0
70.35,41.5,7.75,18.54,0,0,1,1.0683,3915.9,1.17,0.094859
13.91,48.1,4.76,11.99,0,0,1,1.0683,1877.9,9.73,0.07
48.5,40.7,8.25,15.38,0,0,1,1.0683,5406.9,7.43,0.07
111.5,58.1,2.0,461.24,0,0,1,1.0683,5507.7,5.37,1.0
5.24,37.9,10.35,1.38,0,0,1,1.0683,4483.3,1.29,0.133969
56.15,53.1,2.75,76.69,0,0,1,1.0683,844.2,1.88,0.455376
122.34,44.9,6.07,83.95,0,0,1,1.0683,5178.6,10.87,0.634059
134.3,50.8,3.66,229.11,0,0,1,1.0683,2077.5,14.76,1.0
60.64,32.7,21.0,5.63,0,0,1,1.0683,6884.0,3.42,0.088051
31.1,46.3,5.5,25.73,0,0,1,1.0683,6553.4,18.31,0.107613
135.5,49.8,4.09,199.53,0,0,1,1.0683,5207.5,21.23,1.0
37.16,59.6,2.0,64.08,0,0,1,1.0683,7083.2,0.99,0.230586
118.54,57.8,2.0,523.18,0,0,1,1.0683,1395.3,14.2,1.0
155.3,59.1,2.0,839.54,0,0,1,1.0683,7084.8,11.86,1.0
144.82,55.3,2.0,750.64,0,0,1,1.0683,2427.3,20.72,1.0
38.64,33.6,21.0,18.39,0,0,1,1.0683,623.3,17.41,0.07
57.1,51.7,3.3,63.29,0,0,1,1.0683,536.9,7.88,0.267147
53.55,48.8,4.49,43.81,0,0,1,1.0683,6650.5,15.4,0.128548
39.14,30.7,21.0,1.54,0,0,1,1.0683,6532.2,0.53,0.089888
157.76,54.0,2.41,615.38,0,0,1,1.0683,7484.6,8.77,1.0
128.89,42.1,7.47,70.88,0,0,1,1.0683,3625.1,15.69,0.344728
70.79,52.1,3.15,91.65,0,0,1,1.0683,1828.9,2.76,0.783338
59.58,38.6,9.79,14.3,0,0,1,1.0683,2257.5,5.84,0.077871
64.57,50.4,3.84,76.35,0,0,1,1.0683,1676.0,23.75,0.457583
132.11,32.7,21.0,30.96,0,0,1,1.0683,3161.0,21.98,0.088463
103.05,35.0,18.47,13.03,0,0,1,1.0683,7434.2,5.79,0.105594
158.38,49.5,4.2,237.95,0,0,1,1.0683,4577.6,12.82,1.0
37.04,35.6,17.02,10.08,0,0,1,1.0683,5857.9,8.75,0.076753
9.72,59.1,2.0,28.83,0,0,1,1.0683,6634.2,23.19,0.125508
116.93,34.6,19.46,13.88,0,0,1,1.0683,6128.0,5.61,0.077378
37.6,46.1,5.56,24.74,0,0,1,1.0683,4467.4,14.5,0.077124
149.31,58.7,2.0,791.36,0,0,1,1.0683,6472.9,20.24,1.0
110.08,46.5,5.39,85.01,0,0,1,1.0683,698.1,10.21,0.603018
121.53,44.9,6.06,77.85,0,0,1,1.0683,653.8,5.5,0.468237
114.79,32.3,21.0,19.35,0,0,1,1.0683,6391.5,12.38,0.141556
138.55,40.4,8.42,64.79,0,0,1,1.0683,5101.2,14.14,0.253029
44.86,56.4,2.0,105.0,0,0,1,1.0683,5990.8,16.46,0.938647
117.18,50.4,3.84,173.01,0,0,1,1.0683,4658.7,18.82,1.0
26.65,56.4,2.0,35.4,0,0,1,1.0683,6545.2,0.73,0.101984
56.3,52.3,3.08,81.78,0,0,1,1.0683,1247.7,20.45,0.564793
139.8,45.2,5.91,104.59,0,0,1,1.0683,97.6,7.18,0.914811
106.14,37.8,10.4,34.94,0,0,1,1.0683,4773.3,13.5,0.099264
131.01,33.2,21.0,22.38,0,0,1,1.0683,5719.7,13.53,0.088535
106.28,58.0,2.0,441.63,0,0,1,1.0683,813.7,23.43,1.0
115.56,32.0,21.0,24.76,0,0,1,1.0683,2292.2,17.7,0.085171
58.11,48.6,4.55,53.92,0,0,1,1.0683,390.8,21.79,0.139016
163.55,59.1,2.0,911.74,0,0,1,1.0683,5634.9,3.25,1.0
114.79,43.4,6.81,77.85,0,0,1,1.0683,2088.5,24.93,0.481584
71.6,43.5,6.73,43.0,0,0,1,1.0683,1269.0,19.87,0.086214
13.84,50.4,3.83,10.14,0,0,1,1.0683,4926.1,6.83,0.099333
159.75,34.5,19.67,37.81,0,0,1,1.0683,3270.9,23.59,0.135683
66.8,38.2,10.08,20.09,0,0,1,1.0683,7380.6,10.23,0.072522
150.21,36.9,11.51,34.19,0,0,1,1.0683,1637.6,0.78,0.07
145.21,44.2,6.4,94.98,0,0,1,1.0683,7263.0,4.64,0.850742
145.93,53.3,2.68,457.82,0,0,1,1.0683,5793.4,21.12,1.0
22.05,31.0,21.0,15.77,0,0,1,1.0683,6910.3,15.42,0.117908
133.82,44.4,6.28,83.92,0,0,1,1.0683,923.9,3.13,0.595097
33.69,44.7,6.13,21.6,0,0,1,1.0683,528.4,14.55,0.112906
45.19,53.9,2.43,74.6,0,0,1,1.0683,2362.2,11.38,0.409782
100.8,38.7,9.69,43.72,0,0,1,1.0683,5227.6,21.5,0.07
131.01,31.2,21.0,11.47,0,0,1,1.0683,3629.8,2.62,0.081588
103.85,51.1,3.57,141.58,0,0,1,1.0683,4219.4,0.24,1.0
54.85,45.5,5.79,27.54,0,0,1,1.0683,704.6,8.77,0.07
95.35,50.7,3.73,117.22,0,0,1,1.0683,6014.4,5.0,0.987723
28.14,33.1,21.0,18.22,0,0,1,1.0683,4791.4,17.66,0.087564
119.12,56.1,2.0,533.56,0,0,1,1.0683,5369.9,20.04,1.0
57.03,54.4,2.22,135.19,0,0,1,1.0683,646.9,22.37,1.0
75.99,49.3,4.28,76.49,0,0,1,1.0683,3971.7,18.29,0.467063
13.71,31.8,21.0,4.14,0,0,1,1.0683,1890.9,3.99,0.07
163.95,40.1,8.67,84.85,0,0,1,1.0683,1406.8,19.74,0.627918
110.66,44.9,6.03,79.73,0,0,1,1.0683,4187.5,17.98,0.530132
33.52,50.4,3.84,16.98,0,0,1,1.0683,587.9,0.77,0.07877
43.29,43.9,6.56,27.97,0,0,1,1.0683,6518.6,18.18,0.087004
58.12,41.1,7.93,12.81,0,0,1,1.0683,7408.0,1.0,0.123531
145.66,47.4,5.06,157.06,0,0,1,1.0683,3317.7,18.13,1.0
151.32,42.7,7.17,94.06,0,0,1,1.0683,2112.4,14.81,0.789627
153.28,36.3,14.4,38.93,0,0,1,1.0683,4691.1,15.79,0.092064
120.26,57.3,2.0,528.3,0,0,1,1.0683,1388.6,5.94,1.0
163.19,35.4,17.43,30.69,0,0,1,1.0683,6415.2,12.31,0.108741
74.81,45.4,5.82,47.3,0,0,1,1.0683,2726.3,14.82,0.118714
27.47,41.7,7.63,9.74,0,0,1,1.0683,7272.1,6.45,0.07
129.94,33.9,21.0,20.06,0,0,1,1.0683,7275.2,11.34,0.116847
39.66,32.2,21.0,14.02,0,0,1,1.0683,1314.7,12.99,0.095914
72.39,37.5,10.65,27.99,0,0,1,1.0683,4647.7,17.67,0.081013
28.06,35.0,18.43,19.11,0,0,1,1.0683,323.2,18.41,0.07
141.82,54.2,2.33,554.86,0,0,1,1.0683,4410.9,21.71,1.0
34.58,33.4,21.0,2.23,0,0,1,1.0683,2059.6,1.43,0.09092
6.61,33.7,21.0,23.39,0,0,1,1.0683,3418.9,23.35,0.085826
53.11,45.2,5.91,20.76,0,0,1,1.0683,359.7,3.71,0.095558
76.4,45.5,5.81,50.5,0,0,1,1.0683,3691.9,16.67,0.149639
23.46,30.9,21.0,18.02,0,0,1,1.0683,2344.1,17.62,0.092038
162.95,32.8,21.0,24.19,0,0,1,1.0683,5060.9,11.09,0.07
145.85,35.3,17.71,35.53,0,0,1,1.0683,5210.1,20.95,0.103331
83.53,48.5,4.59,75.13,0,0,1,1.0683,6523.3,14.27,0.451236
5.11,57.9,2.0,18.68,0,0,1,1.0683,5187.0,16.91,0.100418
66.17,49.5,4.19,63.62,0,0,1,1.0683,844.1,16.45,0.220479
167.9,31.4,21.0,24.0,0,0,1,1.0683,7329.9,10.17,0.101958
95.26,52.2,3.14,162.69,0,0,1,1.0683,6594.9,10.1,1.0
54.94,50.0,3.99,55.86,0,0,1,1.0683,6068.5,19.06,0.175623
137.4,33.6,21.0,9.78,0,0,1,1.0683,4106.4,0.14,0.110171
54.53,41.0,8.0,27.75,0,0,1,1.0683,3001.5,17.39,0.07
39.91,41.2,7.9,7.88,0,0,1,1.0683,1743.2,1.83,0.07
101.38,50.0,3.98,122.83,0,0,1,1.0683,4665.2,11.59,1.0
87.21,44.4,6.31,45.54,0,0,1,1.0683,241.0,8.53,0.106856
63.87,42.0,7.52,28.77,0,0,1,1.0683,4372.3,13.34,0.119028
136.58,51.5,3.38,255.55,0,0,1,1.0683,7168.7,0.46,1.0
32.89,30.2,21.0,23.19,0,0,1,1.0683,4873.7,22.45,0.090651
10.12,58.0,2.0,8.61,0,0,1,1.0683,2669.6,2.54,0.077666
81.63,37.7,10.47,20.89,0,0,1,1.0683,2172.3,7.68,0.083941
52.3,48.3,4.68,32.12,0,0,1,1.0683,5385.3,6.82,0.127382
69.48,33.7,21.0,19.85,0,0,1,1.0683,1399.6,17.03,0.079992
119.12,33.2,21.0,13.87,0,0,1,1.0683,4276.5,6.41,0.07
161.77,44.5,6.25,128.43,0,0,1,1.0683,6054.6,13.76,1.0
159.84,48.0,4.78,203.72,0,0,1,1.0683,6153.0,22.11,1.0
38.32,36.4,14.19,12.23,0,0,1,1.0683,4601.8,10.28,0.07
131.13,38.2,10.07,43.88,0,0,1,1.0683,6178.5,10.59,0.106383
112.15,32.9,21.0,17.98,0,0,1,1.0683,4697.8,11.29,0.07
123.79,55.9,2.0,552.73,0,0,1,1.0683,1664.7,2.39,1.0
3.97,49.3,4.3,13.95,0,0,1,1.0683,4572.9,13.67,0.073531
99.87,44.9,6.05,54.42,0,0,1,1.0683,7409.0,3.41,0.149505
116.78,42.1,7.44,64.56,0,0,1,1.0683,3240.1,17.94,0.269465
46.06,32.4,21.0,23.7,0,0,1,1.0683,688.2,22.35,0.110232
32.23,39.7,8.97,12.15,0,0,1,1.0683,1738.6,8.87,0.077421
11.36,54.0,2.4,18.9,0,0,1,1.0683,1791.2,13.5,0.07
147.85,49.5,4.19,208.29,0,0,1,1.0683,4020.5,8.11,1.0
167.02,49.9,4.06,282.28,0,0,1,1.0683,4205.5,18.27,1.0
78.15,31.8,21.0,27.43,0,0,1,1.0683,4239.1,23.94,0.100171
33.76,46.1,5.57,19.66,0,0,1,1.0683,770.2,11.26,0.07
127.04,40.4,8.43,63.16,0,0,1,1.0683,5003.6,19.89,0.221531
166.74,57.8,2.0,961.69,0,0,1,1.0683,4072.7,21.05,1.0
87.52,48.7,4.52,86.91,0,0,1,1.0683,714.0,18.88,0.669405
131.38,51.3,3.5,231.84,0,0,1,1.0683,319.4,7.58,1.0
44.2,40.8,8.15,30.3,0,0,1,1.0683,702.9,23.42,0.07
66.69,43.4,6.79,32.91,0,0,1,1.0683,4524.4,12.89,0.106899
154.46,44.9,6.05,133.2,0,0,1,1.0683,7441.6,21.29,1.0
63.94,56.3,2.0,187.73,0,0,1,1.0683,6517.0,20.15,1.0
132.73,39.1,9.39,48.6,0,0,1,1.0683,652.8,10.07,0.132813
58.14,59.3,2.0,161.78,0,0,1,1.0683,4825.2,20.56,1.0
22.26,55.9,2.0,37.26,0,0,1,1.0683,6924.5,12.18,0.136468
29.37,45.1,5.97,9.43,0,0,1,1.0683,3020.0,3.66,0.091389
61.75,32.0,21.0,5.66,0,0,1,1.0683,242.3,3.38,0.072965
162.26,43.0,7.01,106.28,0,0,1,1.0683,2373.0,12.65,0.935903
73.84,33.2,21.0,8.55,0,0,1,1.0683,4824.2,5.4,0.11501
25.54,31.8,21.0,11.96,0,0,1,1.0683,5866.7,11.5,0.112089
9.77,59.8,2.0,23.07,0,0,1,1.0683,480.5,17.38,0.07
116.28,31.9,21.0,32.06,0,0,1,1.0683,3845.2,24.92,0.086337
136.75,48.5,4.62,161.6,0,0,1,1.0683,2331.6,15.6,0.97521
21.96,56.6,2.0,29.34,0,0,1,1.0683,3400.9,4.87,0.108442
61.78,42.4,7.29,33.7,0,0,1,1.0683,6215.2,18.34,0.089866
3.22,37.8,10.4,3.47,0,0,1,1.0683,5714.2,3.43,0.07
89.93,36.5,13.72,15.7,0,0,1,1.0683,140.3,6.03,0.072947
18.44,46.4,5.42,24.07,0,0,1,1.0683,3435.1,21.11,0.097045
16.48,44.6,6.18,10.03,0,0,1,1.0683,1167.9,8.12,0.071548
63.15,41.8,7.58,34.5,0,0,1,1.0683,3472.9,19.63,0.129017
149.87,58.7,2.0,784.23,0,0,1,1.0683,5912.4,7.89,1.0
42.78,55.2,2.0,103.84,0,0,1,1.0683,336.3,22.54,0.933581
77.53,49.1,4.35,80.82,0,0,1,1.0683,4962.2,22.38,0.579971
11.2,45.6,5.78,19.51,0,0,1,1.0683,1168.8,18.44,0.108462
86.05,50.4,3.84,90.62,0,0,1,1.0683,360.5,2.12,0.727835
